-0.33137,-1.2308,-2.6983,-4.7339,-7.4322,-10.699,-14.533,-18.935,-24.001,-29.634,-35.835,-42.605,-50.037,-58.037,-66.606,-75.742,-85.541,-95.909,-106.85,-118.35
-0.32959,-1.2242,-2.6838,-4.7084,-7.3922,-10.641,-14.455,-18.834,-23.872,-29.475,-35.643,-42.376,-49.768,-57.725,-66.248,-75.335,-85.081,-95.392,-106.27,-117.71
-0.32786,-1.2178,-2.6697,-4.6838,-7.3536,-10.586,-14.38,-18.735,-23.747,-29.321,-35.457,-42.154,-49.508,-57.424,-65.901,-74.941,-84.636,-94.893,-105.71,-117.1
-0.3262,-1.2116,-2.6562,-4.66,-7.3161,-10.531,-14.306,-18.64,-23.626,-29.171,-35.276,-41.94,-49.256,-57.131,-65.566,-74.559,-84.206,-94.411,-105.18,-116.5
-0.29169,-1.0834,-2.3751,-4.1669,-6.5421,-9.4171,-12.792,-16.668,-21.126,-26.085,-31.544,-37.502,-44.044,-51.087,-58.629,-66.671,-75.297,-84.422,-94.048,-104.17
-0.26994,-1.0027,-2.1982,-3.8564,-6.0545,-8.7154,-11.839,-15.425,-19.552,-24.141,-29.193,-34.707,-40.762,-47.28,-54.259,-61.702,-69.684,-78.13,-87.038,-96.409
-0.25368,-0.94227,-2.0657,-3.6241,-5.6898,-8.1904,-11.126,-14.496,-18.374,-22.687,-27.435,-32.617,-38.307,-44.431,-50.991,-57.985,-65.487,-73.424,-81.796,-90.602
-0.24052,-0.89339,-1.9586,-3.4361,-5.3947,-7.7656,-10.549,-13.744,-17.421,-21.51,-26.011,-30.925,-36.32,-42.127,-48.346,-54.978,-62.09,-69.615,-77.553,-85.903
-0.22938,-0.852,-1.8678,-3.2769,-5.1447,-7.4056,-10.06,-13.107,-16.614,-20.514,-24.806,-29.492,-34.636,-40.174,-46.106,-52.43,-59.213,-66.389,-73.959,-81.921
-0.21964,-0.81582,-1.7885,-3.1378,-4.9264,-7.0915,-9.6335,-12.551,-15.909,-19.643,-23.754,-28.241,-33.166,-38.47,-44.149,-50.205,-56.7,-63.573,-70.821,-78.446
-0.21097,-0.78361,-1.7179,-3.0139,-4.7318,-6.8114,-9.2526,-12.056,-15.28,-18.867,-22.815,-27.125,-31.857,-36.951,-42.406,-48.222,-54.461,-61.061,-68.024,-75.347
-0.20311,-0.75443,-1.6539,-2.9016,-4.5555,-6.5576,-8.9079,-11.606,-14.711,-18.164,-21.966,-26.115,-30.67,-35.574,-40.826,-46.426,-52.432,-58.787,-65.489,-72.541
