-0.21378,-0.53445,-0.85512,-1.3896,-1.924,-2.6723,-3.4205,-4.3825,-5.3445,-6.5203,-7.6961,-9.0855,-10.475,-12.079,-13.682,-15.499,-17.316,-19.347,-21.378,-23.623,-25.867,-28.325,-30.784,-33.456,-36.129,-39.015,-41.901,-45.001,-48.1,-51.414,-54.728,-58.255,-61.782,-65.523,-69.265,-73.22,-77.174,-81.343,-85.512,-89.894,-94.277,-98.874,-103.47,-108.28,-113.09,-118.12,-123.14,-128.38,-133.61
-0.21145,-0.52863,-0.8458,-1.3744,-1.903,-2.6431,-3.3832,-4.3347,-5.2862,-6.4492,-7.6122,-8.9866,-10.361,-11.947,-13.533,-15.33,-17.127,-19.136,-21.145,-23.365,-25.585,-28.017,-30.449,-33.092,-35.735,-38.59,-41.444,-44.51,-47.576,-50.853,-54.131,-57.62,-61.109,-64.809,-68.509,-72.421,-76.333,-80.457,-84.58,-88.915,-93.249,-97.794,-102.34,-107.1,-111.86,-116.83,-121.79,-126.97,-132.16
-0.2093,-0.52326,-0.83721,-1.3605,-1.8837,-2.6162,-3.3488,-4.2907,-5.2326,-6.3838,-7.5349,-8.8955,-10.256,-11.825,-13.395,-15.174,-16.953,-18.941,-20.93,-23.128,-25.326,-27.733,-30.139,-32.755,-35.372,-38.198,-41.023,-44.058,-47.093,-50.337,-53.581,-57.035,-60.488,-64.151,-67.814,-71.686,-75.558,-79.639,-83.721,-88.012,-92.302,-96.801,-101.3,-106.01,-110.72,-115.64,-120.56,-125.69,-130.81
-0.20731,-0.51828,-0.82924,-1.3475,-1.8658,-2.5914,-3.317,-4.2499,-5.1828,-6.323,-7.4632,-8.8106,-10.158,-11.713,-13.268,-15.03,-16.792,-18.762,-20.731,-22.908,-25.085,-27.469,-29.853,-32.445,-35.036,-37.835,-40.633,-43.639,-46.645,-49.859,-53.072,-56.492,-59.913,-63.541,-67.169,-71.004,-74.839,-78.882,-82.924,-87.174,-91.424,-95.882,-100.34,-105,-109.67,-114.54,-119.41,-124.49,-129.57
-0.20545,-0.51363,-0.82181,-1.3355,-1.8491,-2.5682,-3.2872,-4.2118,-5.1363,-6.2663,-7.3963,-8.7317,-10.067,-11.608,-13.149,-14.895,-16.642,-18.593,-20.545,-22.703,-24.86,-27.223,-29.585,-32.154,-34.722,-37.495,-40.269,-43.248,-46.227,-49.411,-52.596,-55.986,-59.376,-62.971,-66.567,-70.368,-74.168,-78.174,-82.181,-86.393,-90.605,-95.022,-99.439,-104.06,-108.68,-113.51,-118.34,-123.38,-128.41
-0.20371,-0.50928,-0.81484,-1.3241,-1.8334,-2.5464,-3.2594,-4.1761,-5.0928,-6.2132,-7.3336,-8.6577,-9.9818,-11.509,-13.037,-14.769,-16.501,-18.436,-20.371,-22.51,-24.649,-26.992,-29.334,-31.88,-34.427,-37.177,-39.927,-42.881,-45.835,-48.992,-52.15,-55.511,-58.872,-62.437,-66.002,-69.771,-73.54,-77.512,-81.484,-85.66,-89.836,-94.216,-98.596,-103.18,-107.76,-112.55,-117.34,-122.33,-127.32
-0.20207,-0.50518,-0.80828,-1.3134,-1.8186,-2.5259,-3.2331,-4.1424,-5.0517,-6.1631,-7.2745,-8.5879,-9.9014,-11.417,-12.932,-14.65,-16.368,-18.288,-20.207,-22.328,-24.45,-26.774,-29.098,-31.624,-34.15,-36.878,-39.606,-42.536,-45.466,-48.598,-51.73,-55.064,-58.398,-61.934,-65.471,-69.209,-72.947,-76.888,-80.828,-84.971,-89.113,-93.458,-97.802,-102.35,-106.89,-111.64,-116.39,-121.34,-126.29
-0.20052,-0.50129,-0.80207,-1.3034,-1.8047,-2.5065,-3.2083,-4.1106,-5.0129,-6.1158,-7.2186,-8.522,-9.8254,-11.329,-12.833,-14.538,-16.242,-18.147,-20.052,-22.157,-24.263,-26.569,-28.875,-31.381,-33.888,-36.595,-39.302,-42.209,-45.117,-48.225,-51.333,-54.642,-57.95,-61.459,-64.968,-68.678,-72.387,-76.297,-80.207,-84.317,-88.428,-92.739,-97.051,-101.56,-106.07,-110.78,-115.5,-120.41,-125.32
-0.19905,-0.49762,-0.79618,-1.2938,-1.7914,-2.488,-3.1847,-4.0804,-4.9762,-6.0709,-7.1657,-8.4595,-9.7533,-11.246,-12.739,-14.431,-16.123,-18.014,-19.905,-21.995,-24.085,-26.374,-28.663,-31.151,-33.639,-36.326,-39.013,-41.899,-44.785,-47.87,-50.956,-54.24,-57.524,-61.008,-64.491,-68.173,-71.856,-75.737,-79.618,-83.698,-87.779,-92.058,-96.338,-100.82,-105.3,-109.97,-114.65,-119.53,-124.4
-0.19765,-0.49411,-0.79058,-1.2847,-1.7788,-2.4706,-3.1623,-4.0517,-4.9411,-6.0282,-7.1152,-8.3999,-9.6846,-11.167,-12.649,-14.329,-16.009,-17.887,-19.765,-21.84,-23.915,-26.188,-28.461,-30.931,-33.402,-36.07,-38.739,-41.605,-44.47,-47.534,-50.597,-53.858,-57.12,-60.579,-64.037,-67.694,-71.35,-75.204,-79.058,-83.11,-87.162,-91.411,-95.66,-100.1,-104.55,-109.19,-113.84,-118.69,-123.53
