0.027868,0.34835,1.0033,2.0204,3.372,5.0859,7.1342,9.5447,12.29,15.397
0.036389,0.45487,1.31,2.6382,4.4031,6.641,9.3157,12.463,16.048,20.105
0.045398,0.56747,1.6343,3.2913,5.4931,8.2851,11.622,15.549,20.02,25.082
0.055098,0.68873,1.9835,3.9947,6.6669,10.055,14.105,18.871,24.298,30.442
0.065798,0.82249,2.3687,4.7704,7.9616,12.008,16.844,22.536,29.017,36.353
0.078002,0.97501,2.8081,5.6551,9.4383,14.235,19.969,26.716,34.399,43.096
0.092656,1.1582,3.3356,6.7175,11.211,16.91,23.72,31.735,40.861,51.192
0.11195,1.3994,4.0301,8.1162,13.546,20.431,28.658,38.342,49.369,61.85
0.11606,1.4508,4.1783,8.4146,14.044,21.182,29.712,39.752,51.184,64.126
0.12055,1.507,4.34,8.7402,14.587,22.002,30.862,41.29,53.165,66.606
0.12551,1.5689,4.5185,9.0999,15.187,22.906,32.131,42.988,55.351,69.346
0.13107,1.6384,4.7186,9.5029,15.86,23.921,33.555,44.892,57.803,72.418
0.13744,1.7181,4.948,9.9647,16.631,25.084,35.185,47.075,60.613,75.938
0.14496,1.812,5.2186,10.51,17.54,26.456,37.11,49.65,63.928,80.091
0.15425,1.9282,5.5531,11.184,18.665,28.151,39.489,52.832,68.026,85.225
0.16668,2.0835,6.0003,12.084,20.168,30.418,42.669,57.087,73.504,92.088
0.18639,2.3299,6.7102,13.514,22.554,34.017,47.717,63.84,82.2,102.98
0.18735,2.3418,6.7445,13.582,22.669,34.191,47.961,64.167,82.621,103.51
0.18833,2.3542,6.78,13.654,22.788,34.37,48.213,64.504,83.055,104.05
0.18935,2.3669,6.8166,13.727,22.911,34.556,48.474,64.853,83.504,104.62
0.1904,2.38,6.8545,13.805,23.039,34.748,48.743,65.214,83.968,105.19
0.19149,2.3937,6.8938,13.883,23.171,34.948,49.022,65.587,84.449,105.8
0.19263,2.4078,6.9345,13.965,23.308,35.154,49.312,65.975,84.948,106.43
0.1938,2.4225,6.9769,14.05,23.45,35.369,49.613,66.377,85.467,107.07
0.19503,2.4378,7.021,14.139,23.598,35.593,49.927,66.797,86.007,107.75
0.19631,2.4538,7.067,14.232,23.753,35.826,50.254,67.234,86.571,108.46
0.19764,2.4706,7.1151,14.329,23.915,36.07,50.596,67.692,87.16,109.19
0.19904,2.488,7.1655,14.431,24.084,36.325,50.955,68.172,87.778,109.97
0.20051,2.5064,7.2185,14.538,24.262,36.594,51.332,68.677,88.427,110.78
0.20207,2.5259,7.2744,14.649,24.45,36.877,51.729,69.207,89.111,111.64
0.20371,2.5463,7.3334,14.768,24.649,37.177,52.149,69.769,89.835,112.55
0.20545,2.5681,7.3962,14.895,24.859,37.495,52.595,70.367,90.603,113.51
0.20731,2.5913,7.4631,15.03,25.084,37.834,53.071,71.003,91.422,114.54
0.2093,2.6162,7.5347,15.174,25.325,38.197,53.58,71.685,92.301,115.64
0.21145,2.6431,7.612,15.33,25.585,38.588,54.13,72.42,93.247,116.82
0.21378,2.6722,7.6959,15.499,25.867,39.014,54.727,73.219,94.275,118.12
0.21633,2.7042,7.7878,15.684,26.176,39.48,55.38,74.093,95.401,119.53
0.21915,2.7394,7.8895,15.889,26.517,39.995,56.103,75.059,96.646,121.08
0.22232,2.779,8.0034,16.118,26.9,40.572,56.913,76.143,98.041,122.83
0.22592,2.824,8.1332,16.38,27.337,41.231,57.836,77.379,99.631,124.82
0.23012,2.8765,8.2845,16.684,27.845,41.998,58.912,78.817,101.48,127.15
0.23518,2.9398,8.4664,17.05,28.457,42.92,60.206,80.549,103.71,129.94
0.24156,3.0195,8.6962,17.513,29.229,44.085,61.839,82.734,106.53,133.47
0.25031,3.1289,9.0112,18.148,30.288,45.681,64.079,85.731,110.39,138.3
0.26466,3.3083,9.5279,19.188,32.024,48.301,67.754,90.648,116.72,146.23
0.36058,4.5072,12.981,26.142,43.63,65.805,92.307,123.5,159.01,199.22
